0,1,2,3,4,5,6,7,8,9
코로나 팬데믹 완전극복과 피해소상공인에 대한 완전한 지원,"수출 1조 달러, 국민소득 5만 달러 달성, 주가지수 5000으로 세계5강 달성","경제적 기본권 보장, 여성안심 평등사회, ‘청년기회국가' 건설","311만호 주택공급으로 내집마련•주거안정 실현, 함께 잘 사는 균형발전","어르신, 환자, 장애인, 아동, 영•유아 돌봄 국가책임제, 국민안심국가 실현",일하는 사람들의 권리보장과 일자리 대전환으로 성장하는 사회 실현,"과학기술 5대 강국 실현과 미래인재 양성, 공교육 내실화를 위한 교육대전환",문화강국 실현과 미디어산업 혁신성장,"대통령 4년 중임제 개헌 추진, 국민 주권 실현을 위한 정치개혁과 사법개혁"," 스마트강군 건설, 실용외교로 평화보안 실현"
코로나 극복 긴급구조 및 포스트 코로나 플랜,지속가능한 좋은 일자리 창출,수요에 부응하는 주택 250만호 이상 공급,스마트하고 공정하게 봉사하는 ‘디지털 플랫폼 정부’ 구현과 대통령실 개혁,과학기술 추격국가에서 원천기술 선도국가로,출산 준비부터 산후조리•양육까지 국가책임 강화,청년이 내일을 꿈꾸고 국민이 공감하는 공정한 사회 - 여성가족부 폐지,"당당한 외교, 튼튼한 안보",실현 가능한 탄소중립과 원전 최강국 건설," 공정한 교육과 미래인재 육성, 모두가 누리는 문화복지"
기후위기 극복을 위한 정의로운 탈탄소사회로의 전환,"노동자, 자영업자, 농어민의 일할 권리와 기본권 보장","성차별, 폭력없는 성평등 사회 실현 청년, 청소년의 다양성 존중과 미래사회 보장",부동산 불평등 해소•투기 근절 기후위기•차별 해소를 위한 조세 개혁,"불공정 해소, 미래를 대비하는 경제개혁",국민건강권 및 전국민 돌봄 보장,"맞춤교육, 문화다양성, 표현의 자유가 보장되는 나라",모두가 존중받고 안전한 공동체,특권과 부패가 없는 정의로운 대한민국, 평화와 공생의 한반도와 국제사회
5•5•5 신성장전략으로 미래먹거리와 청년일자리 창출하겠습니다,자주•실용•평화 책임외교전략으로 한반도 평화통일 추진하겠습니다,"공적연금 통합하여 청년의 미래, 대한민국의 미래를 지키겠습니다",코로나19 자영업 영업시간 제한 폐지하고 150조 손실보상하겠습니다.,반값 토지임대부 ‘안심주택’으로 내집마련 시대 열겠습니다,부모찬스 수시 폐지하고 학제개편으로 창의적 미래교육 하겠습니다,강성 귀족노조 혁파하고 공정 시장경제 확립하겠습니다,생애주기별 안심복지로 요람에서 무덤까지 국가가 책임지겠습니다,책임총리 - 책임장관제로 제왕적 청와대정부 혁신하겠습니다," 기후위기시대 탄소중립 추진하고, 스마트 농어촌으로 식량주권 지키겠습니다."
당신이 누구든 매달 65만 원 기본소득,토지세 기본소득 패키지로 부동산 불평등 해소,누구나 나답게 사는 성평등 사회,민주주의 기본소득으로 시작하는 정치개혁,기본소득 그린뉴딜로 2050 탄소 중립 달성,공공사회서비스 강화로 모두의 기본권이 보장되는 나라,공정한 디지털 혁신을 위한 기본 소득 디지털뉴딜,디지털 전환에 발맞춘 사각지대 없는 노동권 보장,생태 위기를 극복하는 모두를 위한 공존 사회, 국민을 위한 재정•통화제도 민주화
코로나 긴급생계지원금 1억 지급 및 국민배당금 매월 150만원 평생 지금,"결혼하는 부부에게 3억원 지급, 출산수당 5천만원, 육아수당 매월 100만원 지급, 연애수당 매월 20만원 지급, 여성가족부 폐지 결혼부 신설","국회의원 100명으로 축소, 무보수 명예직으로 전환(지자체 의원 포함), 지방 자치단체장 선거제도 폐지","징병제를 폐지 모병제로 전환하고, 기존 사병월급 매월 200만 원으로 상향 지급, 월남 6.25참전 용사 및 파독(광부, 간호사) 각 5억원 일시불 지급, 유엔본부를 판문점으로 이전","중, 고증 전공 1과목만 시험 그 총점으로 대학 진학","청년취업 국가책임제 실시, 중소기업 취업자에게 월 100만원 지급, 중소기업 5년 이상 근무자 창업 시 무이자, 무담보, 무보증 창업자금 3억원 융자지원, 통일부 폐지 취업부 신설","양도소득세, 상속세, 부동산 및 자동차 보유세 폐지, 증권거래세, 갑근세 폐지, 김영란법 및 금융실명제법 등 잘못된 악법 폐지, 국민연금 폐지, 건강 고용보험료 중산층 이하 면제",용산 미군기지와 성남 서울공항 부지에 100만호의 신혼부부 주택 건설 무상 공급,"반려동물 무료진료카드, 안경무료 카드, 청소년안심식사카드 무료 제공"," 한반도 외곽 순환도로, 수도권 순환 고속전철 건설 및 BV벨트인(부산-블라디보스톡)에 있는 원산시 50년 임대 개발, 연해주 코리아 자치주 건설"
재벌국유화•국가투자은행설립으로 공공경제 실현,"1,000만 국가책임일자리로 완전 고용",전 기업 탄소배출 감축의 무제로 기후정의 실현,읍면동 공공가사돌봄센터로 국가 책임 돌봄사회,"민간임대 금지•공공주택 1,000만 호로 공공주거 실현",의료•교육•교통•통신•에너지 공영화로 공공복지 실현,"여성차별•폭력• 없는 사회, 성•재생산권리 보장",차별금지법 제정으로 차별과 배제 없는 평등사회,"한반도 평화조약 체결, 한반도 비핵지대화 "," 정당법 폐지, 교사•공무원의 정치 활동 보장"
4•15 부정선거 진실 규명,공직선거 및 정당 내 전자투표금지,선관위 법관 임명 금지,투표절차의 공정성 확보,전자선거인명부 사용 금지,"사전투표 폐지, 우편투표 최소화",재외국인 현장 투표/현장 개표,탄핵 재조명하겠습니다,방역의 허구성 재조명, 정권을 심판하겠습니다
권력구조 개편 및 정치 개혁,공공부문•관료 개혁,국가균형발전,소상공인•자영업자 및 중소기업 대책,보편적 소득안전망•저출산고령화 대책,G10 대한민국 만들기,1가구 1주택 꿈 이루기,교육개혁,청년 5대 권리장전, 선진과학기술•4차산업혁명 대책
한•미•일 군사동맹강화와 한•일 핵무기 공동개발,공영방송 폐지와 빅테크 언론검열 금지,"법원 내 사조직 폐지, 사전선거 폐지, 수개표 실시",대규모 재개발을 통한 풍부한 민간주택공급,대학의 완전 자유화 보장과 사학재단 자율 정리,연금개혁,신혼부부 주택구입에 95% 정부지불보증,박근혜 대통령 재심을 통한 거짓 세력의 응징과 적폐수사로 수감된 인사들의 석방과 사면,5•18 역사왜곡처벌법(5•18민주화운동특별법) 폐지와 5•18유공자 공개," 중대재해처벌법 폐지와 노동이사제 도입 반대, 탈원전 정책 폐기"
