,0
0,확대
1,보장
2,국가
3,도입
4,지원
5,제도
6,사회
7,법
8,주택
9,청년
10,강화
11,국민
12,폐지
13,추진
14,전환
15,정책
16,산업
17,제정
18,기업
19,교육
20,구축
21,실현
22,예산
23,마련
24,정부
25,일자리
26,개정
27,지역
28,확보
29,고용
30,정치
31,위원회
32,통합
33,시행
34,금지
35,소득
36,재정
37,체계
38,개혁
39,서비스
40,권리
41,공급
42,경제
43,지급
44,대학
45,의료
46,노동
47,개선
48,문화
49,토지
50,디지털
51,미래
52,플랫폼
53,세
54,혁신
55,한반도
56,투자
57,활용
58,운영
59,선거
60,설치
61,사업
62,법률
63,체제
64,기술
65,민간
66,노동자
67,전면
68,개편
69,개발
70,에너지
71,기본소득
72,대통령
73,의무
74,건강
75,보험
76,장애인
77,연금
78,평화
79,기후
80,규제
81,주거
82,책임
83,기금
84,건설
85,기준
86,부담
87,적용
88,청소년
89,임금
90,발전
91,구성
92,코로나
93,안전
94,부동산
95,탄소
96,보호
97,해소
98,복지
99,위기
100,관리
101,시설
102,안정
103,신설
104,시스템
105,지방
106,대한민국
107,세계
108,실시
109,협력
110,조정
111,처벌
112,참여
113,공무원
114,제한
115,활성화
116,감축
117,남북
118,투표
119,제공
120,정당
121,대응
122,육성
123,기관
124,확충
125,수준
126,조성
127,원칙
128,일반
129,과학기술
130,평등
131,환경
132,과정
133,지출
134,달성
135,대상
136,임대
137,수도권
138,가족
139,시대
140,설립
141,현행
142,문제
143,국제
144,수립
145,급여
146,임대주택
147,헌법
148,활동
149,피해
150,구조
151,교통
152,국회의원
153,폐기
154,방역
155,인재
156,녹색
157,차별
158,아동
159,생활
160,연구
161,안보
162,성장
163,직접
164,도시
165,방지
166,취업
167,분야
168,자금
169,국회
170,사람
171,확립
172,해결
173,조원
174,국가책임
175,글로벌
176,인상
177,취임
178,중단
179,사용
180,부
181,시간
182,한국
183,종합
184,기회
185,센터
186,인력
187,업자
188,지속
189,성과
190,규정
191,영업
192,수당
193,정보
194,농민
195,분양
196,특별법
197,노조
198,정의
199,은행
200,병원
201,회복
202,중립
203,공정
204,격차
205,행정
206,인권
207,증대
208,준비
209,조치
210,자산
211,기본권
212,비용
213,완화
214,상향
215,관계
216,자영
217,시민
218,현장
219,적극
220,외교
221,회계
222,주권
223,정비
224,국비
225,전략
226,금융
227,근절
228,계획
229,범죄
230,인정
231,시장
232,추가
233,현재
234,주민
235,한미
236,통일
237,학교
238,조직
239,공개
240,채용
241,우선
242,효과
243,기구
244,방식
245,개인
246,원전
247,예술
248,불평등
249,소유
250,뉴딜
251,치료
252,발생
253,안심
254,전국
255,포함
256,거주
257,택지
258,장기
259,기초
260,동물
261,보유
262,이용
263,구조조정
264,과학
265,출산
266,최소
267,개표
268,양성
269,불공정
270,여성
271,맞춤
272,공공기관
273,비율
274,국민연금
275,합의
276,핵
277,손실보상
278,무상
279,규모
280,축소
281,전문가
282,노동권
283,환수
284,거래
285,명시
286,절감
287,좌파
288,극복
289,경쟁력
290,허용
291,목적
292,대비
293,연령
294,산업혁명
295,대책
296,자유
297,민주
298,세수
299,자율
300,폭력
301,온라인
302,결정
303,사업자
304,자치
305,공항
306,효율
307,반영
308,업무
309,제화
310,로드맵
311,해외
312,청와대
313,그린
314,부여
315,인구
